modality,classifier,n_folds,won_folds,mean_stage_a_auroc,K,rank_in_signature,feature,selection_frequency,mean_percentile_rank,mean_importance_magnitude
RNA,ElasticNet_LR,500,266,0.7591028416028416,5,1,RNA_HER2DX_HER2_amplicon,1.0,0.9818378001255719,0.9719445715950314
RNA,ElasticNet_LR,500,266,0.7591028416028416,5,2,RNA_HER2DX_pCR_likelihood_score,0.994,0.622907016890733,0.24345034900115795
RNA,ElasticNet_LR,500,266,0.7591028416028416,5,3,RNA_HER2DX_luminal,0.83,0.4748843222805323,0.14934798512466255
RNA,ElasticNet_LR,500,266,0.7591028416028416,5,4,RNA_mRNA-ESR1,0.61,0.44891490392606975,0.19071692555305753
RNA,ElasticNet_LR,500,266,0.7591028416028416,5,5,RNA_pik3ca_sig,0.4,0.42189486145233057,0.151149605082079
RNA,SVM_Linear,500,207,0.7571663197913198,5,1,RNA_HER2DX_HER2_amplicon,1.0,0.9684327441106089,0.9687141370203118
RNA,SVM_Linear,500,207,0.7571663197913198,5,2,RNA_HER2DX_luminal,0.824,0.4950628254822853,0.3589717715700799
RNA,SVM_Linear,500,207,0.7571663197913198,5,3,RNA_mRNA-ESR1,0.78,0.4954741142100237,0.358411446442555
RNA,SVM_Linear,500,207,0.7571663197913198,5,4,RNA_HER2DX_pCR_likelihood_score,0.672,0.42798147089009836,0.26785991647215834
RNA,SVM_Linear,500,207,0.7571663197913198,5,5,RNA_pik3ca_sig,0.322,0.42666135561954044,0.3008199385127787
RNA,ExtraTrees,500,12,0.6858895548895549,5,1,RNA_HER2DX_HER2_amplicon,1.0,0.975318816291495,0.12587625606587877
RNA,ExtraTrees,500,12,0.6858895548895549,5,2,RNA_HER2DX_pCR_likelihood_score,0.998,0.6497004695069553,0.08016985844825245
RNA,ExtraTrees,500,12,0.6858895548895549,5,3,RNA_mRNA-ESR1,0.768,0.4798355840962794,0.06180106559183863
RNA,ExtraTrees,500,12,0.6858895548895549,5,4,RNA_HER2DX_luminal,0.768,0.4364036794875212,0.061292186521873356
RNA,ExtraTrees,500,12,0.6858895548895549,5,5,RNA_mRNA-PGR,0.358,0.44055523607450364,0.045641655468604346
RNA,HistGradBoost,500,10,0.6749158064158064,5,1,RNA_HER2DX_HER2_amplicon,1.0,0.8966792468539387,0.16539434815030557
RNA,HistGradBoost,500,10,0.6749158064158064,5,2,RNA_HER2DX_pCR_likelihood_score,0.814,0.5146227015597968,0.07432922222808824
RNA,HistGradBoost,500,10,0.6749158064158064,5,3,RNA_mRNA-ESR1,0.812,0.5261058530728648,0.07886734675910943
RNA,HistGradBoost,500,10,0.6749158064158064,5,4,RNA_HER2DX_luminal,0.754,0.5006107724910844,0.07171125580144452
RNA,HistGradBoost,500,10,0.6749158064158064,5,5,RNA_Th2 cells,0.378,0.4614933764521378,0.06464971512771109
RNA,RandomForest,500,5,0.6833306138306139,5,1,RNA_HER2DX_HER2_amplicon,1.0,0.935367934971807,0.10334508155973429
RNA,RandomForest,500,5,0.6833306138306139,5,2,RNA_HER2DX_pCR_likelihood_score,0.982,0.593526855967663,0.05892370863366503
RNA,RandomForest,500,5,0.6833306138306139,5,3,RNA_HER2DX_luminal,0.774,0.4711215420277747,0.04683182977474035
RNA,RandomForest,500,5,0.6833306138306139,5,4,RNA_mRNA-ESR1,0.646,0.4595014272703362,0.04581630861968789
RNA,RandomForest,500,5,0.6833306138306139,5,5,RNA_mRNA-PGR,0.37,0.45123198690536154,0.038592547346255286
