modality,classifier,n_folds,won_folds,mean_stage_a_auroc,K,rank_in_signature,feature,selection_frequency,mean_percentile_rank,mean_importance_magnitude
RNA,SVM_Linear,500,253,0.721342340992341,5,1,RNA_Exosome,0.964,0.629445042443883,0.6490803950224644
RNA,SVM_Linear,500,253,0.721342340992341,5,2,RNA_mRNA-ESR1,0.914,0.5678054841801954,0.5881484559038523
RNA,SVM_Linear,500,253,0.721342340992341,5,3,RNA_Mast-cells,0.834,0.612360731204603,0.6235783097121679
RNA,SVM_Linear,500,253,0.721342340992341,5,4,RNA_mRNA-PGR,0.67,0.4685462519790879,0.4745060442867066
RNA,SVM_Linear,500,253,0.721342340992341,5,5,RNA_HER2DX_luminal,0.33,0.4139729512616273,0.39603226788153484
RNA,RandomForest,500,73,0.6924887279387278,5,1,RNA_Exosome,0.994,0.7684393333865254,0.08696182858981816
RNA,RandomForest,500,73,0.6924887279387278,5,2,RNA_mRNA-ESR1,0.99,0.6196823257205728,0.0661342847753769
RNA,RandomForest,500,73,0.6924887279387278,5,3,RNA_Mast-cells,0.824,0.5561419989756051,0.057517210875498326
RNA,RandomForest,500,73,0.6924887279387278,5,4,RNA_mRNA-PGR,0.612,0.4222370577160739,0.04512450662451217
RNA,RandomForest,500,73,0.6924887279387278,5,5,RNA_B-cells,0.32,0.4404909858999934,0.04017946334246026
RNA,HistGradBoost,500,67,0.6858495337995338,5,1,RNA_Exosome,0.984,0.7593870214497632,0.14325593058109518
RNA,HistGradBoost,500,67,0.6858495337995338,5,2,RNA_mRNA-ESR1,0.906,0.5518425965954992,0.09039545383144224
RNA,HistGradBoost,500,67,0.6858495337995338,5,3,RNA_Mast-cells,0.8,0.5498054689011538,0.0926451008161167
RNA,HistGradBoost,500,67,0.6858495337995338,5,4,RNA_mRNA-PGR,0.478,0.40478640180523,0.06186038478560881
RNA,HistGradBoost,500,67,0.6858495337995338,5,5,RNA_B-cells,0.31,0.4372613948705031,0.07235159104900331
RNA,ElasticNet_LR,500,59,0.6916855477855477,5,1,RNA_mRNA-ESR1,0.986,0.714302346576555,0.6110575427453085
RNA,ElasticNet_LR,500,59,0.6916855477855477,5,2,RNA_Exosome,0.904,0.5846486606328485,0.4500590625445661
RNA,ElasticNet_LR,500,59,0.6916855477855477,5,3,RNA_Mast-cells,0.82,0.5643894664699997,0.4249456047572692
RNA,ElasticNet_LR,500,59,0.6916855477855477,5,4,RNA_mRNA-PGR,0.712,0.4814087234031056,0.36959762556778947
RNA,ElasticNet_LR,500,59,0.6916855477855477,5,5,RNA_HER2DX_luminal,0.34,0.411734918131977,0.198655528537756
RNA,ExtraTrees,500,48,0.6857540626040626,5,1,RNA_mRNA-ESR1,0.986,0.6510265469199846,0.08320127543389944
RNA,ExtraTrees,500,48,0.6857540626040626,5,2,RNA_Exosome,0.97,0.6436920329678305,0.08281637106094802
RNA,ExtraTrees,500,48,0.6857540626040626,5,3,RNA_Mast-cells,0.856,0.5950026310617007,0.07172060618704225
RNA,ExtraTrees,500,48,0.6857540626040626,5,4,RNA_mRNA-PGR,0.616,0.452862211141432,0.06108059916101675
RNA,ExtraTrees,500,48,0.6857540626040626,5,5,RNA_HER2DX_luminal,0.404,0.4188490496919363,0.05758315161195104
