modality,classifier,n_folds,won_folds,mean_stage_a_auroc,K,rank_in_signature,feature,selection_frequency,mean_percentile_rank,mean_importance_magnitude
RNA,ExtraTrees,1000,452,0.7284580155138979,10,1,RNA_HER2DX_HER2_amplicon,1.0,0.9280275441679287,0.07994198412095785
RNA,ExtraTrees,1000,452,0.7284580155138979,10,2,RNA_HER2DX_pCR_likelihood_score,1.0,0.7965656969454613,0.06841462163473996
RNA,ExtraTrees,1000,452,0.7284580155138979,10,3,RNA_mRNA-ESR1,1.0,0.7558501716785706,0.06651289098173829
RNA,ExtraTrees,1000,452,0.7284580155138979,10,4,RNA_HER2DX_luminal,0.996,0.5417371009359754,0.056819771866214126
RNA,ExtraTrees,1000,452,0.7284580155138979,10,5,RNA_mRNA-PGR,0.993,0.5308910730896687,0.054392941757864716
RNA,ExtraTrees,1000,452,0.7284580155138979,10,6,RNA_Exosome,0.983,0.4696324221532784,0.05229885332062024
RNA,ExtraTrees,1000,452,0.7284580155138979,10,7,RNA_Mast-cells,0.792,0.33418055080700076,0.03554357232052129
RNA,ExtraTrees,1000,452,0.7284580155138979,10,8,RNA_Fatty_acid_metabolism,0.497,0.2373872173238641,0.022753890131570007
RNA,ExtraTrees,1000,452,0.7284580155138979,10,9,RNA_B-cells,0.49,0.22706947948791,0.018871937122442013
RNA,ExtraTrees,1000,452,0.7284580155138979,10,10,RNA_CAF,0.382,0.22871540972258486,0.01874597383561291
RNA,ElasticNet_LR,1000,248,0.7195945782159017,10,1,RNA_HER2DX_HER2_amplicon,1.0,0.9544922292897509,0.9300118783464346
RNA,ElasticNet_LR,1000,248,0.7195945782159017,10,2,RNA_Exosome,1.0,0.7316226778110322,0.49368004455246434
RNA,ElasticNet_LR,1000,248,0.7195945782159017,10,3,RNA_HER2DX_luminal,1.0,0.5559051851012543,0.243316054425781
RNA,ElasticNet_LR,1000,248,0.7195945782159017,10,4,RNA_mRNA-ESR1,0.999,0.7926352692290314,0.5907177461479928
RNA,ElasticNet_LR,1000,248,0.7195945782159017,10,5,RNA_HER2DX_pCR_likelihood_score,0.985,0.3976569945831088,0.05333316153205882
RNA,ElasticNet_LR,1000,248,0.7195945782159017,10,6,RNA_Mast-cells,0.883,0.4420837724955825,0.19453469088511405
RNA,ElasticNet_LR,1000,248,0.7195945782159017,10,7,RNA_mRNA-PGR,0.589,0.21436057184635587,0.03371008722607888
RNA,ElasticNet_LR,1000,248,0.7195945782159017,10,8,RNA_CAF,0.469,0.3066476990520554,0.11071699241826226
RNA,ElasticNet_LR,1000,248,0.7195945782159017,10,9,RNA_B-cells,0.378,0.2532013766288818,0.03463963728812386
RNA,ElasticNet_LR,1000,248,0.7195945782159017,10,10,RNA_pik3ca_sig,0.315,0.25927096955377316,0.03065374545624307
