modality,classifier,n_folds,won_folds,mean_stage_a_auroc,K,rank_in_signature,feature,selection_frequency,mean_percentile_rank,mean_importance_magnitude
RNA,ExtraTrees,1000,469,0.7281135948610212,10,1,RNA_HER2DX_HER2_amplicon,1.0,0.9269268897208582,0.07998242418581046
RNA,ExtraTrees,1000,469,0.7281135948610212,10,2,RNA_HER2DX_pCR_likelihood_score,1.0,0.7946134346062765,0.06835171507762029
RNA,ExtraTrees,1000,469,0.7281135948610212,10,3,RNA_mRNA-ESR1,1.0,0.755788315362239,0.06653095861193963
RNA,ExtraTrees,1000,469,0.7281135948610212,10,4,RNA_HER2DX_luminal,0.998,0.543360544982918,0.05688285046215921
RNA,ExtraTrees,1000,469,0.7281135948610212,10,5,RNA_mRNA-PGR,0.994,0.5301262644057694,0.05439089448480636
RNA,ExtraTrees,1000,469,0.7281135948610212,10,6,RNA_Exosome,0.982,0.47052146652991345,0.05222583336193075
RNA,ExtraTrees,1000,469,0.7281135948610212,10,7,RNA_Mast-cells,0.802,0.3356442649505744,0.0355545015144755
RNA,ExtraTrees,1000,469,0.7281135948610212,10,8,RNA_Fatty_acid_metabolism,0.498,0.23786257813378725,0.022635686072346305
RNA,ExtraTrees,1000,469,0.7281135948610212,10,9,RNA_B-cells,0.47,0.23006263324953952,0.019142643993966257
RNA,ExtraTrees,1000,469,0.7281135948610212,10,10,RNA_CAF,0.395,0.2207715344535786,0.01843124637487109
RNA,ElasticNet_LR,1000,246,0.7195908775048481,10,1,RNA_HER2DX_HER2_amplicon,1.0,0.9544922292897509,0.9300121456678476
RNA,ElasticNet_LR,1000,246,0.7195908775048481,10,2,RNA_Exosome,1.0,0.731640859629214,0.49368073003505913
RNA,ElasticNet_LR,1000,246,0.7195908775048481,10,3,RNA_HER2DX_luminal,1.0,0.555951685822755,0.24332069740286114
RNA,ElasticNet_LR,1000,246,0.7195908775048481,10,4,RNA_mRNA-ESR1,0.999,0.7926562750833706,0.5907153793430084
RNA,ElasticNet_LR,1000,246,0.7195908775048481,10,5,RNA_HER2DX_pCR_likelihood_score,0.985,0.3977429667046139,0.053328835023253196
RNA,ElasticNet_LR,1000,246,0.7195908775048481,10,6,RNA_Mast-cells,0.883,0.4420262485422488,0.1945326884193583
RNA,ElasticNet_LR,1000,246,0.7195908775048481,10,7,RNA_mRNA-PGR,0.589,0.21428437328543745,0.033759984692731795
RNA,ElasticNet_LR,1000,246,0.7195908775048481,10,8,RNA_CAF,0.469,0.3066121624493546,0.11071769987303308
RNA,ElasticNet_LR,1000,246,0.7195908775048481,10,9,RNA_B-cells,0.378,0.2532013766288818,0.03463943965005891
RNA,ElasticNet_LR,1000,246,0.7195908775048481,10,10,RNA_pik3ca_sig,0.315,0.25927096955377316,0.030651546982656645
RNA,SVM_Linear,1000,115,0.7122705922753717,10,1,RNA_HER2DX_HER2_amplicon,1.0,0.9508207297175908,0.9455368455231137
RNA,SVM_Linear,1000,115,0.7122705922753717,10,2,RNA_HER2DX_luminal,1.0,0.6202397703784678,0.49410361296302213
RNA,SVM_Linear,1000,115,0.7122705922753717,10,3,RNA_Exosome,0.998,0.6745127488390087,0.5617954997849403
RNA,SVM_Linear,1000,115,0.7122705922753717,10,4,RNA_mRNA-ESR1,0.996,0.6399912771065274,0.5237453784961075
RNA,SVM_Linear,1000,115,0.7122705922753717,10,5,RNA_mRNA-PGR,0.947,0.3662670084920038,0.25273894074370057
RNA,SVM_Linear,1000,115,0.7122705922753717,10,6,RNA_HER2DX_pCR_likelihood_score,0.885,0.294957333707813,0.1929405563738101
RNA,SVM_Linear,1000,115,0.7122705922753717,10,7,RNA_Mast-cells,0.83,0.4519518576150768,0.3515961260841905
RNA,SVM_Linear,1000,115,0.7122705922753717,10,8,RNA_CAF,0.432,0.33347282835461706,0.24569939998445542
RNA,SVM_Linear,1000,115,0.7122705922753717,10,9,RNA_Fatty_acid_metabolism,0.421,0.30254055303844146,0.2139351062919855
RNA,SVM_Linear,1000,115,0.7122705922753717,10,10,RNA_Taxane_response,0.258,0.25953546732453714,0.17907055874892583
RNA,RandomForest,1000,102,0.7156557934712346,10,1,RNA_HER2DX_HER2_amplicon,1.0,0.8841922185426552,0.06721940913753993
RNA,RandomForest,1000,102,0.7156557934712346,10,2,RNA_mRNA-ESR1,0.998,0.6761541014655675,0.051253832149875465
RNA,RandomForest,1000,102,0.7156557934712346,10,3,RNA_Exosome,0.997,0.6309379265243169,0.04792893372821472
